date,output,investment,consumption,hours_worked,unemployment,labor_share,interest,inflation,productivity,TFP
1978-01-01,1021.2368336128902,1356.9265458894479,1417.3181505726482,1759.0719765088725,6.3333,468.6399881220773,1.689175,1.479,399.2404117374959,38.190000000000005
1978-04-01,1024.7963389017864,1362.8958063362497,1418.5654141194586,1761.4179200191377,6,466.2967284714308,1.820825,1.813,401.18321406476366,38.2475
1978-07-01,1025.477802619802,1363.9168289543795,1419.2468778374744,1761.2745183854333,6.0333,466.071841528753,2.025,1.659,401.1868340397863,38.18
1978-10-01,1026.5174913298397,1365.9683306809757,1419.5037836854874,1761.7962647984946,5.9,465.79333995149767,2.395825,2.08,401.8147229386535,37.980000000000004
1979-01-01,1026.4617557935098,1365.2391919265115,1420.035708998056,1762.022579998176,5.8667,467.9312443268357,2.518325,1.772,400.9186013140779,38.0225
1979-04-01,1026.3222808938117,1364.4217483282753,1420.6744481425635,1761.4990534657106,5.7,467.54608816035255,2.545,2.39,400.6423680849631,39.02250000000001
1979-07-01,1026.7366485323362,1363.4662315309838,1421.6685275495206,1762.076976405721,5.8667,467.80581284939274,2.736675,2.114,400.53494006505383,37.625
1979-10-01,1026.6845117938724,1361.6749205213328,1422.575170926572,1762.3140873531345,5.9667,468.4849750810166,3.394175,1.975,400.4474557793058,37.7175
1980-01-01,1026.7262233590084,1360.3031809929782,1423.18776891374,1761.2938546823552,6.3,468.3223223271933,3.761675,2.058,400.92041611376936,39.675000000000004
1980-04-01,1024.3987381791933,1350.592269612058,1422.3669035693895,1759.2598892819747,7.3333,469.1879850800513,3.171675,2.172,399.83107873526666,38.7075
1980-07-01,1023.949539562907,1346.6339390146447,1422.8479442193345,1759.1544605331871,7.6667,469.7220512785905,2.459175,2.275,400.16625923131056,38.157500000000006
1980-10-01,1025.5129853946785,1352.4698793130503,1423.4811507848747,1759.7920249066601,7.4,469.2209895909673,3.963325,2.725,401.2754825182146,37.77
1981-01-01,1027.3567249973496,1359.499966316679,1423.4380419571075,1760.7278158923912,7.4333,467.1341747988298,4.1425,2.467,402.95037731839676,38.86750000000001
1981-04-01,1026.3990161609186,1355.6116448216978,1423.616708985708,1759.8024269630064,7.4,468.0926798387338,4.445,1.858,401.694142337518,37.90500000000001
1981-07-01,1027.2668963567046,1359.4101376760339,1423.1575554894043,1758.8800095490803,7.4,467.31839116014726,4.394175,1.783,402.53516907351496,39.795
1981-10-01,1025.8325810799902,1354.6727698316713,1422.8617724352023,1758.2483033178435,8.2333,468.1973807326966,3.396675,1.856,401.3441762553242,39.3025
1982-01-01,1023.931672529323,1347.799517745761,1422.8300771857505,1757.0999007406747,8.8333,470.0643988769083,3.556675,1.39,400.62234788269217,39.64
1982-04-01,1024.2563539313103,1347.3367935046579,1422.7837006480843,1757.440045678071,9.4333,469.5120573186353,3.628325,1.197,400.8296357596647,39.032500000000006
1982-07-01,1023.6381967809457,1345.9249813947195,1423.6415850560315,1757.1743178276843,9.9,469.64084504223393,2.751675,1.43,401.0201794109673,38.5
1982-10-01,1023.4911352935114,1340.8789811872578,1424.9490946688352,1756.450753082256,10.6667,469.1109321665744,2.321675,1.104,401.9261756097745,38.685
1983-01-01,1024.5906358926657,1341.9784817864122,1425.6869312209708,1756.711530885578,10.3667,468.44710801244497,2.163325,0.805,403.2486888843284,38.477500000000006
1983-04-01,1026.6393046225496,1349.3237040742874,1427.0083240179467,1758.1461553018466,10.1333,466.7741147749588,2.200825,0.674,405.5257173514054,38.2725
1983-07-01,1028.332711300532,1353.757008171081,1428.5190822433256,1759.9049338010484,9.3667,465.43317097664357,2.365,1.042,406.2423806095671,37.09
1983-10-01,1030.1390808437002,1360.8277510627915,1429.2224994289438,1760.6563647070332,8.5333,465.45792062456337,2.3575,0.733,406.7247394337733,37.17500000000001
1984-01-01,1031.9133987918044,1367.6031110683618,1429.8815641820004,1761.7635757627586,7.8667,466.04440473963126,2.421675,1.059,406.8889992749632,38.025000000000006
1984-04-01,1033.4522936755823,1369.8364531874208,1431.0459267927622,1763.3150103967523,7.4333,465.50740155162754,2.639175,0.838,407.50767918644436,38.76500000000001
1984-07-01,1034.1903760783978,1370.5745355902366,1431.7840091955777,1762.6520605049777,7.4333,465.6556976004789,2.8475,0.807,407.9332442101597,39.257500000000014
1984-10-01,1034.7403847018545,1370.081056484435,1432.5214592984696,1762.9856355978131,7.3,465.8436033612685,2.316675,0.669,407.9941331911357,39.48250000000001
1985-01-01,1035.5454494295711,1368.0490514992305,1433.886749581053,1763.6126456294671,7.2333,465.6718447868668,2.119175,1.144,408.16138697432825,40.59250000000001
1985-04-01,1036.2461831496553,1369.1088520323872,1434.9592309411503,1763.0652678199353,7.3,465.6081907586003,1.980825,0.617,408.498422395574,40.39000000000001
1985-07-01,1037.5302041185826,1369.6734454379118,1436.2432519100778,1763.7023066334023,7.2,465.07743277931075,1.975,0.578,409.768896347249,41.065000000000005
1985-10-01,1038.028058155791,1370.890727038523,1437.1114767410347,1763.7878044095323,7.0333,466.3269268371738,2.025825,0.577,410.20316077034965,40.830000000000005
1986-01-01,1038.7548167781963,1371.2584188478554,1437.83823536344,1763.9334486159885,7.0333,466.11723761033767,1.956675,0.487,411.3738609328736,41.76500000000001
1986-04-01,1039.0010237778945,1371.1442650972238,1437.7140715693895,1763.849631968908,7.1667,466.3410791824769,1.73,0.399,412.1408345104751,42.572500000000005
1986-07-01,1039.7543345426145,1371.8975758619438,1438.2816812593883,1763.8335799001993,6.9667,466.96930820035914,1.551675,0.403,412.62307510844226,42.690000000000005
1986-10-01,1040.0315666658266,1371.085868005229,1439.11498525107,1764.2873392991241,6.8333,468.1325346934435,1.566675,0.556,412.3790089439858,42.337500000000006
1987-01-01,1040.5353154930606,1370.857012823256,1440.1717308792504,1765.152708285531,6.6,468.46096348145164,1.555,0.723,411.8874559965378,41.295
1987-04-01,1041.439317310229,1371.761014640424,1441.2593874771487,1765.5933801546403,6.2667,467.91731526289277,1.6625,0.668,412.605315556582,42.365
1987-07-01,1042.0970963966186,1372.78576661571,1441.9171665635383,1765.9343999209443,6,468.1325346934435,1.710825,0.723,412.6279180752446,42.7425
1987-10-01,1043.4850827519665,1375.9886848216258,1442.5685013372104,1766.5849910138427,5.8333,468.0685738464237,1.729175,0.824,413.48625105249886,42.8275
1988-01-01,1043.8459298130197,1373.4296164134528,1443.8493180881057,1766.0422935900335,5.7,468.77082392340617,1.665825,0.783,413.8297649750563,44.267500000000005
1988-04-01,1044.9525868057863,1374.5362734062192,1444.772656972706,1766.88703752351,5.4667,468.7956817963447,1.789175,0.962,414.10213837441256,44.53
1988-07-01,1045.2677753845103,1373.7341319251307,1445.6367947799074,1766.8295643551285,5.4667,468.5957231957749,1.995825,1.171,414.39597827642956,44.9675
1988-10-01,1046.3331885781652,1375.1733773298463,1446.7022079735623,1767.5850286071177,5.3333,467.96095318029256,2.1175,0.799,414.7853733074361,44.962500000000006
1989-01-01,1047.1383252907115,1376.7220118911443,1447.1417135657975,1768.3191058297264,5.2,467.77140784638004,2.360825,1.093,414.6494156546857,44.66250000000001
1989-04-01,1047.6949890150092,1375.7861105937748,1447.881359957803,1768.5556269339895,5.2333,466.58136311567773,2.431675,1.029,415.02364335949073,44.205000000000005
1989-07-01,1048.1616621511807,1375.1185560695526,1448.1650504262666,1768.4047964569447,5.2333,466.27218558260967,2.270825,0.722,415.53299032852505,44.7325
1989-10-01,1048.1027453764323,1373.1401945691894,1449.017716992319,1768.190833096695,5.3667,467.1163897821914,2.153325,0.693,415.56748173737066,44.5225
1990-01-01,1048.963398410183,1374.387695280732,1449.5147332617314,1768.8321673381474,5.3,467.25951623028806,2.0625,1.098,416.4041630148972,44.727500000000006
1990-04-01,1049.0384933253363,1372.1189328986836,1450.1347886536414,1767.9260768322674,5.3333,467.47802003365393,2.060825,1.026,417.1614197713401,44.8975
1990-07-01,1048.7098846027766,1369.7942499198703,1451.066322618882,1766.874391113251,5.7,467.6280813446044,2.04,0.889,417.46487741619546,44.9275
1990-10-01,1047.5003678301348,1364.0478726442434,1450.9244316453744,1766.3163905220613,6.1333,468.4267831846741,1.935825,0.754,416.5858697096097,44.80500000000001
1991-01-01,1046.7237639610005,1360.7070257137752,1449.9706798114019,1765.2298347127435,6.6,467.95724005625516,1.606675,0.992,416.8462058139995,45.24250000000001
1991-04-01,1047.177987595045,1359.8540411910842,1450.424903445446,1764.7557815405573,6.8333,467.6597425329084,1.465825,0.683,418.4535600947452,45.845000000000006
1991-07-01,1047.2997092637895,1360.8491308567045,1450.5466251141906,1764.748795283954,6.8667,467.35015053643593,1.410825,0.732,419.1682986777015,45.650000000000006
1991-10-01,1047.3930231870588,1361.8082510542852,1450.63993903746,1764.0651208480197,7.1,467.74629402015665,1.204175,0.538,419.7502654324727,45.455000000000005
1992-01-01,1048.2737886415962,1360.9498422376357,1452.2274212143068,1764.2727525236032,7.3667,468.19923285893765,1.005825,0.428,421.68129009800924,47.972500000000004
1992-04-01,1049.0384933253363,1363.8838293825017,1452.4625571405759,1764.4318704043637,7.6,467.82254613938255,0.9425,0.636,422.51973706408626,47.6375
1992-07-01,1049.637231115768,1364.4825671729334,1453.4146521891385,1764.2376291762912,7.6333,467.65136260562264,0.814175,0.475,423.42369308739916,47.760000000000005
1992-10-01,1050.2873353281598,1366.4120065313164,1454.0647564015305,1764.2510889069663,7.3667,467.0499019746356,0.759175,0.674,424.0520672379702,47.6
1993-01-01,1050.18019393249,1367.5680398262366,1454.3097280457187,1764.4988659937037,7.1333,466.25802348319627,0.76,0.567,423.26126357073645,45.795
1993-04-01,1050.4683904348165,1368.273773469611,1454.5979245480448,1765.1957529915396,7.0667,467.0499019746356,0.75,0.606,422.68483437017676,45.292500000000004
1993-07-01,1050.613546228876,1368.4189292636706,1455.2689360674512,1765.1603653214574,6.8,466.36466197469446,0.765,0.601,422.8846317226063,44.370000000000005
1993-10-01,1051.6210702728279,1371.8957145666595,1455.5747028455385,1765.7282671768846,6.6333,466.22685980279675,0.7475,0.52,423.39760613072946,45.337500000000006
1994-01-01,1052.328416634614,1374.6152012483878,1456.2820492073247,1765.7165920412954,6.5667,464.93018973479997,0.803325,0.483,423.7593172722492,44.417500000000004
1994-04-01,1053.3934521232143,1377.652687271766,1456.6403679736154,1766.7010287051987,6.2,465.2196891415846,0.985,0.497,423.7564287684939,44.21000000000001
1994-07-01,1053.6592754010392,1376.7397149743867,1457.260173921953,1767.2229092620146,6,465.12710228707545,1.121675,0.54,423.22061493408364,44.09
1994-10-01,1054.4814984366276,1380.291152238776,1457.728414287029,1767.5801686464285,5.6333,464.3197880084749,1.291675,0.549,424.3942034772977,44.87250000000001
1995-01-01,1054.5551942866757,1379.5926434794328,1457.9792581019153,1767.061806506484,5.4667,464.4804275228165,1.4525,0.572,424.3999436759102,45.12750000000001
1995-04-01,1054.6209482901759,1377.7013878635232,1458.7504824034045,1765.9441895238067,5.6667,464.3534763531076,1.505,0.439,424.8852321146172,46.160000000000004
1995-07-01,1055.1506605478326,1377.8350599995701,1459.1042931205432,1766.6565535657103,5.6667,464.5937779028613,1.449175,0.474,424.87237873594614,46.31250000000001
1995-10-01,1055.552623920546,1379.420469136984,1459.5062564932566,1766.3076703858526,5.5667,464.5284730324466,1.43,0.492,425.5016787610999,46.57750000000001
1996-01-01,1055.9555724854652,1380.2148076340168,1460.0851065986938,1766.0533272945038,5.5333,464.79710213107853,1.340825,0.54,426.0324993802936,48.145
1996-04-01,1057.403118688622,1383.2127724907702,1461.1805397619926,1766.7566368546663,5.5,464.28127314126016,1.310825,0.379,427.0578180623714,47.455000000000005
1996-07-01,1057.9997091943048,1385.336110209532,1461.6006077152188,1767.3795986533528,5.2667,464.3188253175612,1.326675,0.282,427.4427504075236,47.45
1996-10-01,1058.731645245708,1385.307586322413,1462.1557090609474,1767.5095508590946,5.3333,464.29475503221215,1.32,0.507,427.5679521377509,47.917500000000004
1997-01-01,1059.2250134778249,1386.9394867770427,1462.6490772930645,1768.2587018550817,5.2333,464.9474111544616,1.319175,0.619,427.50119738942675,47.4375
1997-04-01,1060.4379663543518,1388.9043228949724,1463.151547607217,1768.1334183306103,5,464.1280297000149,1.380825,0.27,428.80181073522795,48.107499999999995
1997-07-01,1061.3713064630824,1390.9549930635153,1464.0848877159476,1768.3782534503664,4.8667,464.02477126007875,1.383325,0.356,429.6455129661794,49.305
1997-10-01,1061.8322836666146,1391.78565645518,1464.901737181179,1768.3408962176977,4.6667,465.14524460886497,1.376675,0.332,430.0613196311466,49.0725
1998-01-01,1062.561084133259,1394.3426614055695,1465.6305376478235,1768.287973864603,4.6333,466.2410263160166,1.38,0.163,430.61035546696723,49.4875
1998-04-01,1063.2508505332278,1394.3051518726304,1466.8517490541415,1768.2090394051247,4.4,466.8332760945732,1.375,0.209,431.23683632860815,50.732499999999995
1998-07-01,1064.2396506792736,1396.021227951584,1467.663714494513,1768.2073453297135,4.5333,466.77975069455454,1.383325,0.373,432.63421340899333,51.82499999999999
1998-10-01,1065.5658073545535,1398.786258372074,1468.2793886074185,1769.1120403866123,4.4333,466.5399435537564,1.215,0.312,433.46205122766116,51.477499999999985
