horizon,median,pctl_84,pctl_16,variable,model
32,-0.005736385596094387,0.013686101404041397,-0.02663303056535756,interest,bayesian_fd
33,-0.006649122985793472,0.012194978654816896,-0.027799751523883438,interest,bayesian_fd
34,-0.007856499239457776,0.01088452417730298,-0.02823059249485077,interest,bayesian_fd
35,-0.00862377413052557,0.009300766368463002,-0.02922041132980772,interest,bayesian_fd
36,-0.00951494963028384,0.007792298877770315,-0.02961473105424127,interest,bayesian_fd
37,-0.010576045232000453,0.006553505648814089,-0.02996503502508,interest,bayesian_fd
38,-0.011475042714480315,0.005614255282218775,-0.03069749336651721,interest,bayesian_fd
39,-0.011832545419959047,0.004816488238624388,-0.03143010877661215,interest,bayesian_fd
40,-0.012270232302228028,0.003931268750728521,-0.0319336860275358,interest,bayesian_fd
1,0.01492152375045956,0.04172353827910501,-0.014162149618723158,inflation,bayesian_fd
2,-0.004200384564512884,0.014860339493582522,-0.024340753705428743,inflation,bayesian_fd
3,-0.020219767773301048,-0.0026926902432484463,-0.0378892077474511,inflation,bayesian_fd
4,-0.02915398799847652,-0.010962676106398558,-0.04539436435906991,inflation,bayesian_fd
5,-0.03468851756773454,-0.01700388782783864,-0.05083256349530428,inflation,bayesian_fd
6,-0.036954421197134685,-0.02025561470776541,-0.053802614552404315,inflation,bayesian_fd
7,-0.037394278619108656,-0.02125607314879876,-0.05526420343574324,inflation,bayesian_fd
8,-0.03639124664313059,-0.020284217052557483,-0.05542755035071367,inflation,bayesian_fd
9,-0.03451696708565342,-0.01828319373319681,-0.054408611068888585,inflation,bayesian_fd
10,-0.03237449362472313,-0.015558927272641927,-0.052438095528180184,inflation,bayesian_fd
11,-0.029565077721579666,-0.012555470219279656,-0.049748562220506394,inflation,bayesian_fd
12,-0.026871067219359883,-0.009260536458470664,-0.04630347786400411,inflation,bayesian_fd
13,-0.024129844734959223,-0.0067690915123632175,-0.04250851288267718,inflation,bayesian_fd
14,-0.021035040032763387,-0.004413447287251928,-0.03936672685196673,inflation,bayesian_fd
15,-0.018193334510030794,-0.0015745419886616589,-0.03633092893318864,inflation,bayesian_fd
16,-0.015297393700748643,0.001038100064653797,-0.033798574655471085,inflation,bayesian_fd
17,-0.012846101864270345,0.003334409889572343,-0.03068700127565987,inflation,bayesian_fd
18,-0.010649416794672805,0.0049224214848029154,-0.02843998523458895,inflation,bayesian_fd
19,-0.00869250582999633,0.006702098621167235,-0.025996007091088007,inflation,bayesian_fd
20,-0.00725091140533185,0.007684123052704664,-0.024303252401488923,inflation,bayesian_fd
21,-0.005923967314340715,0.009201296855554021,-0.022692021381098448,inflation,bayesian_fd
22,-0.005036377041765863,0.009813765807845565,-0.021786025971479564,inflation,bayesian_fd
23,-0.004253514518090011,0.00985077286757977,-0.02054908149095457,inflation,bayesian_fd
24,-0.0035578377442557433,0.009884000529756926,-0.01981181446574857,inflation,bayesian_fd
25,-0.00320403332022748,0.01001936184602159,-0.01925104728409181,inflation,bayesian_fd
26,-0.0031437227338045074,0.009868929606713272,-0.01825874036292563,inflation,bayesian_fd
27,-0.0028819250342824614,0.00990767405667314,-0.017245655083725896,inflation,bayesian_fd
28,-0.0029723687627549056,0.009469421905267216,-0.016980066633038096,inflation,bayesian_fd
29,-0.003357635017488976,0.008952031315747054,-0.017282606128356116,inflation,bayesian_fd
30,-0.003479305894074437,0.008446033963781891,-0.017433388826203957,inflation,bayesian_fd
31,-0.003672112605691355,0.00790510583129794,-0.017223716073065096,inflation,bayesian_fd
